   P(mbar)        Z(m)  theta_l(K)  qt_adj(kg/kg)   T(K)     qc(kg/kg)     u(m/s)     v(m/s)      RHw         RHi  
1008.7466       2.50   270.9187   0.002271   271.5934   0.000000       2.37     -10.99      67.20      68.22
1006.6352      13.33   270.6685   0.002139   271.1801   0.000000       2.81     -13.14      65.12      66.37
1003.6825      33.33   270.5655   0.002081   270.8496   0.000000       2.99     -14.08      64.75      66.21
 999.8941      60.00   270.5129   0.002048   270.5047   0.000000       3.08     -14.60      65.13      66.82
 995.2769      93.33   270.4847   0.002025   270.1192   0.000000       3.14     -14.95      66.01      67.97
 989.8396     133.33   270.4706   0.002009   269.6827   0.000000       3.18     -15.20      67.28      69.58
 983.5916     180.00   270.4638   0.001995   269.1887   0.000000       3.21     -15.39      68.90      71.59
 976.5447     233.33   270.4624   0.001981   268.6350   0.000000       3.23     -15.52      70.85      74.01
 968.7114     293.33   270.4659   0.001968   268.0212   0.000000       3.24     -15.59      73.16      76.88
 960.1059     360.00   270.4737   0.001955   267.3469   0.000000       3.25     -15.63      75.85      80.23
 950.7442     433.33   270.4857   0.001942   266.6114   0.000000       3.25     -15.64      78.96      84.12
 940.6430     513.33   270.5018   0.001929   265.8152   0.000000       3.26     -15.62      82.52      88.59
 929.8210     600.00   270.5220   0.001915   264.9605   0.000001       3.27     -15.59      86.51      93.64
 918.2972     693.33   270.5469   0.001899   264.0585   0.000008       3.28     -15.54      90.75      99.11
 906.0944     793.33   270.5777   0.001989   263.1243   0.000025       3.30     -15.50     100.49     110.78
 893.2359     900.00   270.6155   0.001902   262.1655   0.000057       3.33     -15.48     101.11     112.59
 879.7471    1013.33   270.6663   0.001837   261.1917   0.000105       3.36     -15.50     102.06     114.84
 865.6559    1133.33   270.7880   0.001781   260.2236   0.000154       3.41     -15.60     103.04     117.17
 851.0038    1260.00   271.5708   0.001737   259.6991   0.000151       3.44     -15.84     102.99     117.69
 835.8583    1393.33   273.4127   0.001748   259.9876   0.000095       3.39     -16.86     101.85     115.92
 820.2897    1533.33   275.8175   0.000738   260.6577   0.000005       3.17     -18.44      41.23      46.53
 804.3256    1680.00   277.3399   0.000559   260.6161   0.000000       3.08     -19.46      30.92      34.91
 787.9520    1833.33   277.9727   0.000518   259.6811   0.000000       2.88     -20.18      30.26      34.47
 771.1774    1993.33   278.7095   0.000474   258.7739   0.000000       2.88     -20.81      29.22      33.57
 754.0343    2160.00   279.4169   0.000445   257.7703   0.000000       2.86     -21.36      29.17      33.85
 736.5522    2333.33   280.0865   0.000422   256.6626   0.000000       2.77     -21.68      29.61      34.72
 718.7596    2513.33   280.7472   0.000400   255.4773   0.000000       2.58     -21.75      30.34      35.98
 700.6884    2700.00   281.4014   0.000383   254.2170   0.000000       2.36     -21.65      31.49      37.80
 682.3680    2893.33   282.0132   0.000370   252.8490   0.000000       2.28     -21.42      33.32      40.53
 663.8266    3093.33   282.5683   0.000358   251.3612   0.000000       2.40     -21.08      35.75      44.10
 645.0943    3300.00   283.1124   0.000342   249.7946   0.000000       2.56     -20.76      38.17      47.80
 626.2035    3513.33   283.7011   0.000320   248.1980   0.000000       2.53     -20.60      40.05      50.92
 607.1900    3733.33   284.3763   0.000292   246.6073   0.000000       2.40     -20.63      41.03      52.96
 588.0936    3960.00   285.2089   0.000258   245.0823   0.000000       2.29     -20.83      40.53      53.07
 568.9546    4193.33   286.1760   0.000222   243.6005   0.000000       2.30     -21.14      38.72      51.41
 549.8116    4433.33   287.2299   0.000187   242.1191   0.000000       2.36     -21.45      36.37      48.95
 530.6987    4680.00   288.3470   0.000157   240.6169   0.000000       2.46     -21.72      34.01      46.43
 511.6493    4933.33   289.5155   0.000130   239.0826   0.000000       2.60     -21.95      31.69      43.87
